Year,Age,Sex,mx
1841,42,Female,0.01178
1841,42,Male,0.01217
1841,43,Female,0.01201
1841,43,Male,0.01259
1841,44,Female,0.01267
1841,44,Male,0.01351
1841,45,Female,0.01395
1841,45,Male,0.01516
1841,46,Female,0.01507
1841,46,Male,0.01665
1841,47,Female,0.01553
1841,47,Male,0.01738
1841,48,Female,0.01582
1841,48,Male,0.01791
1841,49,Female,0.01566
1841,49,Male,0.01799
1841,50,Female,0.01500
1841,50,Male,0.01756
1841,51,Female,0.01481
1841,51,Male,0.01753
1841,52,Female,0.01529
1841,52,Male,0.01814
1841,53,Female,0.01601
1841,53,Male,0.01898
1841,54,Female,0.01782
1841,54,Male,0.02105
1841,55,Female,0.02176
1841,55,Male,0.02551
1841,56,Female,0.02552
1841,56,Male,0.02971
1841,57,Female,0.02717
1841,57,Male,0.03145
1841,58,Female,0.02866
1841,58,Male,0.03298
1841,59,Female,0.02838
1841,59,Male,0.03259
1841,60,Female,0.02611
1841,60,Male,0.03007
1841,61,Female,0.02570
1841,61,Male,0.02952
1841,62,Female,0.02738
1841,62,Male,0.03123
1841,63,Female,0.02937
1841,63,Male,0.03329
1841,64,Female,0.03327
1841,64,Male,0.03753
1841,65,Female,0.04104
1841,65,Male,0.04634
1841,66,Female,0.04849
1841,66,Male,0.05482
1841,67,Female,0.05225
1841,67,Male,0.05890
1841,68,Female,0.05604
1841,68,Male,0.06305
1841,69,Female,0.05843
1841,69,Male,0.06516
1841,70,Female,0.05867
1841,70,Male,0.06428
1841,71,Female,0.06066
1841,71,Male,0.06587
1841,72,Female,0.06527
1841,72,Male,0.07099
1841,73,Female,0.07031
1841,73,Male,0.07665
1841,74,Female,0.07880
1841,74,Male,0.08535
1841,75,Female,0.09445
1841,75,Male,0.10004
1841,76,Female,0.10935
1841,76,Male,0.11429
1841,77,Female,0.11814
1841,77,Male,0.12428
1841,78,Female,0.12804
1841,78,Male,0.13581
1841,79,Female,0.12584
1841,79,Male,0.13685
1841,80,Female,0.12342
1841,80,Male,0.13730
1841,81,Female,0.13487
1841,81,Male,0.15093
1841,82,Female,0.14799
1841,82,Male,0.16611
1841,83,Female,0.16091
1841,83,Male,0.18261
1841,84,Female,0.17464
1841,84,Male,0.20149
1841,85,Female,0.18414
1841,85,Male,0.20256
1841,86,Female,0.19838
1841,86,Male,0.21799
1841,87,Female,0.21327
1841,87,Male,0.23423
1841,88,Female,0.22877
1841,88,Male,0.25129
1841,89,Female,0.24487
1841,89,Male,0.26919
1841,90,Female,0.26147
1841,90,Male,0.28792
1841,91,Female,0.27855
1841,91,Male,0.30749
1841,92,Female,0.29598
1841,92,Male,0.32787
1841,93,Female,0.31360
1841,93,Male,0.34904
1841,94,Female,0.33145
1841,94,Male,0.37104
1841,95,Female,0.34935
1841,95,Male,0.39395
1841,96,Female,0.36716
1841,96,Male,0.41764
1841,97,Female,0.38479
1841,97,Male,0.44219
1841,98,Female,0.40261
1841,98,Male,0.46886
1841,99,Female,0.42050
1841,99,Male,0.49679
1841,100,Female,0.43902
1841,100,Male,0.52629
1841,101,Female,0.45832
1841,101,Male,0.56626
1841,102,Female,0.47539
1841,102,Male,0.62117
1841,103,Female,0.49913
1841,103,Male,0.68915
1841,104,Female,0.53737
1841,104,Male,0.90598
1841,105,Female,0.57697
1841,105,Male,1.72785
1841,106,Female,0.67771
1841,106,Male,6.00000
1841,107,Female,0.90000
1841,107,Male,NA
1841,108,Female,1.38843
1841,108,Male,NA
1841,109,Female,NA
1841,109,Male,NA
1841,110,Female,NA
1841,110,Male,NA
1842,0,Female,0.14849
1842,0,Male,0.18401
1842,1,Female,0.06304
1842,1,Male,0.06660
1842,2,Female,0.03520
1842,2,Male,0.03585
1842,3,Female,0.02390
1842,3,Male,0.02452
1842,4,Female,0.01804
1842,4,Male,0.01804
1842,5,Female,0.01395
1842,5,Male,0.01386
1842,6,Female,0.01068
1842,6,Male,0.01074
1842,7,Female,0.00826
1842,7,Male,0.00846
1842,8,Female,0.00662
1842,8,Male,0.00691
1842,9,Female,0.00557
1842,9,Male,0.00586
1842,10,Female,0.00511
1842,10,Male,0.00528
1842,11,Female,0.00498
1842,11,Male,0.00494
1842,12,Female,0.00503
1842,12,Male,0.00480
1842,13,Female,0.00533
1842,13,Male,0.00488
1842,14,Female,0.00590
1842,14,Male,0.00518
1842,15,Female,0.00665
1842,15,Male,0.00571
1842,16,Female,0.00731
1842,16,Male,0.00634
1842,17,Female,0.00793
1842,17,Male,0.00695
1842,18,Female,0.00850
1842,18,Male,0.00749
1842,19,Female,0.00894
1842,19,Male,0.00800
1842,20,Female,0.00905
1842,20,Male,0.00846
1842,21,Female,0.00886
1842,21,Male,0.00879
1842,22,Female,0.00884
1842,22,Male,0.00903
1842,23,Female,0.00898
1842,23,Male,0.00917
1842,24,Female,0.00907
1842,24,Male,0.00920
1842,25,Female,0.00928
1842,25,Male,0.00920
1842,26,Female,0.00970
1842,26,Male,0.00928
1842,27,Female,0.00999
1842,27,Male,0.00933
1842,28,Female,0.01006
1842,28,Male,0.00931
1842,29,Female,0.01009
1842,29,Male,0.00928
1842,30,Female,0.01010
1842,30,Male,0.00920
1842,31,Female,0.01009
1842,31,Male,0.00910
1842,32,Female,0.01013
1842,32,Male,0.00911
1842,33,Female,0.01024
1842,33,Male,0.00928
1842,34,Female,0.01043
1842,34,Male,0.00957
1842,35,Female,0.01096
1842,35,Male,0.01018
1842,36,Female,0.01194
1842,36,Male,0.01116
1842,37,Female,0.01268
1842,37,Male,0.01195
1842,38,Female,0.01292
1842,38,Male,0.01237
1842,39,Female,0.01306
1842,39,Male,0.01268
1842,40,Female,0.01277
1842,40,Male,0.01264
1842,41,Female,0.01210
1842,41,Male,0.01223
1842,42,Female,0.01179
1842,42,Male,0.01214
1842,43,Female,0.01190
1842,43,Male,0.01243
1842,44,Female,0.01212
1842,44,Male,0.01286
1842,45,Female,0.01281
1842,45,Male,0.01378
1842,46,Female,0.01414
1842,46,Male,0.01545
1842,47,Female,0.01529
1842,47,Male,0.01691
1842,48,Female,0.01580
1842,48,Male,0.01762
1842,49,Female,0.01614
1842,49,Male,0.01813
1842,50,Female,0.01602
1842,50,Male,0.01818
1842,51,Female,0.01541
1842,51,Male,0.01772
1842,52,Female,0.01528
1842,52,Male,0.01771
1842,53,Female,0.01584
1842,53,Male,0.01832
1842,54,Female,0.01666
1842,54,Male,0.01918
1842,55,Female,0.01866
1842,55,Male,0.02133
1842,56,Female,0.02285
1842,56,Male,0.02588
1842,57,Female,0.02676
1842,57,Male,0.03009
1842,58,Female,0.02863
1842,58,Male,0.03196
1842,59,Female,0.03040
1842,59,Male,0.03369
1842,60,Female,0.03027
1842,60,Male,0.03346
1842,61,Female,0.02815
1842,61,Male,0.03116
1842,62,Female,0.02808
1842,62,Male,0.03099
1842,63,Female,0.03018
1842,63,Male,0.03311
1842,64,Female,0.03269
1842,64,Male,0.03566
1842,65,Female,0.03742
1842,65,Male,0.04072
1842,66,Female,0.04637
1842,66,Male,0.05069
1842,67,Female,0.05458
1842,67,Male,0.06003
1842,68,Female,0.05887
1842,68,Male,0.06482
1842,69,Female,0.06316
1842,69,Male,0.06972
1842,70,Female,0.06569
1842,70,Male,0.07220
1842,71,Female,0.06579
1842,71,Male,0.07142
1842,72,Female,0.06791
1842,72,Male,0.07358
1842,73,Female,0.07277
1842,73,Male,0.07950
1842,74,Female,0.07797
1842,74,Male,0.08603
1842,75,Female,0.08704
1842,75,Male,0.09615
1842,76,Female,0.10386
1842,76,Male,0.11306
1842,77,Female,0.11912
1842,77,Male,0.12911
1842,78,Female,0.12815
1842,78,Male,0.14069
1842,79,Female,0.13848
1842,79,Male,0.15419
1842,80,Female,0.12082
1842,80,Male,0.14073
1842,81,Female,0.13115
1842,81,Male,0.15447
1842,82,Female,0.14292
1842,82,Male,0.16994
1842,83,Female,0.15651
1842,83,Male,0.18701
1842,84,Female,0.16948
1842,84,Male,0.20503
1842,85,Female,0.18041
1842,85,Male,0.20526
1842,86,Female,0.19498
1842,86,Male,0.21997
1842,87,Female,0.21059
1842,87,Male,0.23519
1842,88,Female,0.22725
1842,88,Male,0.25089
1842,89,Female,0.24502
1842,89,Male,0.26696
1842,90,Female,0.26395
1842,90,Male,0.28339
1842,91,Female,0.28407
1842,91,Male,0.30009
1842,92,Female,0.30550
1842,92,Male,0.31699
